subj,subj_id,image,response_x,response_y,response_size,response_time_click,response_time_circle
AFR,1,grayscale_11_opensource.jpg,591,354,17,9.40012257278431,18.2170030085836
AFR,1,grayscale_18_housebeautiful.jpg,503,936,15,3.73357202764601,10.7335233504418
AFR,1,grayscale_100_oliva.jpg,515,859,9,2.45023869420402,5.98370896885172
AFR,1,grayscale_17_oliva.jpg,532,383,11,2.53358082461637,4.50043193693273
AFR,1,grayscale_16_housebeautiful.jpg,500,873,19,2.86686489428394,5.66699303861242
AFR,1,grayscale_13_oliva.jpg,278,890,15,2.86679891624954,5.16691884980537
AFR,1,grayscale_21_housebeautiful.jpg,485,238,13,2.36692002275959,5.33364592306316
AFR,1,grayscale_72_oliva.jpg,450,712,13,2.35020086669829,4.41705109924078
AFR,1,grayscale_8_oliva.jpg,165,225,15,3.65011641487945,5.31692266196478
AFR,1,grayscale_21_kitchen.jpg,480,889,11,2.2668754508486,5.73348464316223
AFR,1,grayscale_14_housebeautiful.jpg,702,209,11,2.06698922649957,4.26701385830529
AFR,1,grayscale_1_opensource.jpg,419,919,15,3.7002070248127,5.00023282959592
AFR,1,grayscale_11_oliva.jpg,355,847,5,1.68352540314663,3.08370017190464
AFR,1,grayscale_30_housebeautiful.jpg,388,848,15,1.83356352371629,3.500314055942
AFR,1,grayscale_6_other.jpg,343,881,5,1.25027358939406,2.58377025532536
AFR,1,grayscale_18_opensource.jpg,363,869,5,1.85024162661284,3.25055392319337
AFR,1,grayscale_98_oliva.jpg,522,992,11,2.21694465458859,4.28356792230625
AFR,1,grayscale_5_opensource.jpg,683,729,29,3.93353947834112,6.30020350590348
AFR,1,grayscale_16_oliva.jpg,348,823,13,2.16697691055015,3.86699215881526
AFR,1,grayscale_6_airbnb.jpg,709,323,11,2.10028297291137,3.76708658086136
AFR,1,grayscale_13_kitchen.jpg,481,940,29,3.61681709683035,6.38361454685219
AFR,1,grayscale_19_kitchen.jpg,361,614,39,3.21683820977341,5.45024309272412
AFR,1,grayscale_21_opensource.jpg,378,834,57,2.46686020260677,5.20025951403659
AFR,1,grayscale_50_oliva.jpg,258,628,11,2.26695609081071,4.1336661564419
AFR,1,grayscale_29_oliva.jpg,458,982,5,2.46692090248689,4.00054512615316
AFR,1,grayscale_13_opensource.jpg,530,983,11,2.55017916730139,4.4837720147334
AFR,1,grayscale_58_oliva.jpg,426,1026,5,2.53359988506418,4.30032813141588
AFR,1,grayscale_28_oliva.jpg,611,978,5,2.46689304499887,3.6671364310896
AFR,1,grayscale_4_oliva.jpg,221,526,5,2.250209370628,3.55041903455276
AFR,1,grayscale_45_oliva.jpg,711,471,33,3.8834042964736,6.81685316481162
AFR,1,grayscale_68_oliva.jpg,634,1027,53,2.61681328481063,4.85021728801075
AFR,1,grayscale_4_other.jpg,446,351,5,2.51692500780337,4.08381893252954
AFR,1,grayscale_52_oliva.jpg,528,291,13,1.98364035168197,4.4172507931944
AFR,1,grayscale_4_housebeautiful.jpg,281,663,61,2.13368169800378,4.56693233863916
AFR,1,grayscale_84_oliva.jpg,391,881,11,2.36686489440035,5.9668634282425
AFR,1,grayscale_20_housebeautiful.jpg,560,817,5,1.93361542653292,3.23376087180804
AFR,1,grayscale_7_housebeautiful.jpg,512,1033,41,3.28348464320879,4.75026977737434
AFR,1,grayscale_12_housebeautiful.jpg,474,872,33,2.73345356015489,4.13355531310663
AFR,1,grayscale_13_other.jpg,446,889,5,1.86694494786207,3.03391394100618
AFR,1,grayscale_18_kitchen.jpg,393,670,5,1.81685199204367,2.95043398963753
AFR,1,grayscale_60_oliva.jpg,165,383,5,2.11677457764745,3.08365559997037
AFR,1,grayscale_99_oliva.jpg,271,304,51,3.25025013042614,5.41700916655827
AFR,1,grayscale_63_oliva.jpg,458,838,5,1.91693028598092,3.01715431851335
AFR,1,grayscale_70_oliva.jpg,468,890,83,2.41690066922456,4.68356411030982
AFR,1,grayscale_27_opensource.jpg,497,628,5,1.90027681493666,2.90046624548268
AFR,1,grayscale_6_housebeautiful.jpg,280,987,5,1.70019500202034,2.33381951891351
AFR,1,grayscale_47_oliva.jpg,183,1009,71,2.48365706612822,3.81696635414846
AFR,1,grayscale_34_oliva.jpg,694,308,5,1.41697720380034,1.81709449831396
AFR,1,grayscale_54_oliva.jpg,417,590,5,1.80016655812506,2.33374533022288
AFR,1,grayscale_6_kitchen.jpg,445,1008,85,4.91688014264219,6.75020350597333
AFR,1,grayscale_9_kitchen.jpg,187,816,143,1.76693527097814,4.30029851442669
AFR,1,grayscale_15_kitchen.jpg,402,1052,5,1.60024983726908,2.0004806141369
AFR,1,grayscale_3_oliva.jpg,465,899,5,1.93351103446912,2.23388989572413
AFR,1,grayscale_10_oliva.jpg,389,274,133,1.86695286515169,4.200230190414
AFR,1,grayscale_20_oliva.jpg,323,239,5,1.53341602592263,1.96705696405843
AFR,1,grayscale_8_housebeautiful.jpg,358,758,47,1.43350458319765,2.26680624706205
AFR,1,grayscale_2_housebeautiful.jpg,616,620,15,1.33350839535706,6.06686284171883
AFR,1,grayscale_15_opensource.jpg,458,562,5,1.11689333827235,1.51709537801798
AFR,1,grayscale_38_oliva.jpg,355,646,5,1.23363976518158,1.60032813122962
AFR,1,grayscale_17_opensource.jpg,443,980,5,1.35024895751849,1.75047533586621
AFR,1,grayscale_89_oliva.jpg,225,591,5,1.5668792630313,1.96706488146447
AFR,1,grayscale_11_kitchen.jpg,449,323,5,1.45030027383473,1.95042900461704
AFR,1,grayscale_18_oliva.jpg,506,812,5,1.91697954968549,2.35040261328686
AFR,1,grayscale_61_oliva.jpg,220,325,5,1.48359783238266,2.01720710098743
AFR,1,grayscale_14_airbnb.jpg,362,293,5,1.76697397825774,2.5004339896841
AFR,1,grayscale_6_oliva.jpg,310,758,5,1.33344095107168,1.76711825048551
AFR,1,grayscale_56_oliva.jpg,706,661,129,3.21693966956809,5.51694436138496
AFR,1,grayscale_53_oliva.jpg,523,182,83,1.26700242212974,2.70035980083048
AFR,1,grayscale_33_oliva.jpg,492,253,5,2.00015922717284,2.40053281013388
AFR,1,grayscale_5_oliva.jpg,271,721,5,1.43359460670035,2.06701591098681
AFR,1,grayscale_34_housebeautiful.jpg,474,251,5,1.51687046582811,1.91715402528644
AFR,1,grayscale_24_oliva.jpg,471,190,5,1.33362217107788,1.76718012325
AFR,1,grayscale_7_kitchen.jpg,215,792,5,1.50022960396018,1.86708423506934
AFR,1,grayscale_49_oliva.jpg,436,942,5,1.31685844319873,1.81708775390871
AFR,1,grayscale_32_opensource.jpg,570,914,5,1.50023576198146,2.00061374343932
AFR,1,grayscale_75_oliva.jpg,459,173,5,1.56692295509856,1.96732351568062
AFR,1,grayscale_85_oliva.jpg,405,998,25,1.81683234509546,3.01691943628248
AFR,1,grayscale_15_housebeautiful.jpg,718,908,5,1.46688454120886,1.93387816625182
AFR,1,grayscale_14_other.jpg,474,338,93,4.2335101547651,6.0001996938372
AFR,1,grayscale_6_opensource.jpg,308,548,5,1.35034513904247,1.81707543798257
AFR,1,grayscale_35_housebeautiful.jpg,493,372,5,1.03348992147949,1.50037446257193
AFR,1,grayscale_35_oliva.jpg,513,976,69,1.25026948412415,2.68359577981755
AFR,1,grayscale_10_opensource.jpg,498,731,5,1.45021230296697,1.88370926212519
AFR,1,grayscale_83_oliva.jpg,661,1078,13,2.06691621069331,2.83357114787214
AFR,1,grayscale_3_kitchen.jpg,376,243,5,1.55031845462508,2.0839159936877
AFR,1,grayscale_81_oliva.jpg,592,1048,5,1.48354153102264,2.05047856154852
AFR,1,grayscale_27_housebeautiful.jpg,571,963,141,2.28357378696091,4.81707690411713
AFR,1,grayscale_42_oliva.jpg,257,425,5,1.51701737719122,1.98388754983898
AFR,1,grayscale_1_oliva.jpg,723,281,5,1.25013518193737,1.81707954325248
AFR,1,grayscale_77_oliva.jpg,241,209,5,1.73345707904082,2.33373858581763
AFR,1,grayscale_44_oliva.jpg,437,479,5,1.23356293723918,1.63378638320137
AFR,1,grayscale_62_oliva.jpg,379,636,39,2.15025452896953,2.91705432487652
AFR,1,grayscale_64_oliva.jpg,442,402,5,1.71685785672162,2.15047504275572
AFR,1,grayscale_10_kitchen.jpg,675,810,121,2.68356352380943,4.91689656383824
AFR,1,grayscale_43_oliva.jpg,281,918,5,1.58354827540461,2.15044923778623
AFR,1,grayscale_86_oliva.jpg,487,910,49,2.21684524754528,3.05048061418347
AFR,1,grayscale_2_oliva.jpg,453,1069,5,2.30021875421517,2.93364269763697
AFR,1,grayscale_38_housebeautiful.jpg,514,1059,5,1.18363302072976,1.71723378554452
AFR,1,grayscale_23_oliva.jpg,606,952,5,1.56697163230274,2.16721237916499
AFR,1,grayscale_22_housebeautiful.jpg,383,318,9,1.66677633696236,3.60039293649606
AFR,1,grayscale_88_oliva.jpg,408,185,9,2.26694905315526,3.43383799283765
AFR,1,grayscale_9_other.jpg,392,863,91,3.06698658736423,4.73352980159689
AFR,1,grayscale_29_housebeautiful.jpg,263,387,5,2.48350751562975,3.01712880702689
AFR,1,grayscale_65_oliva.jpg,430,974,115,1.61688014271203,3.71700007631443
AFR,1,grayscale_74_oliva.jpg,352,622,99,6.91675844963174,8.68356674944516
AFR,1,grayscale_23_housebeautiful.jpg,752,728,5,1.73359812563285,2.13377641327679
AFR,1,grayscale_28_housebeautiful.jpg,636,280,5,1.88365002837963,2.51707133266609
AFR,1,grayscale_31_oliva.jpg,370,767,5,1.31684172863606,1.68363947200123
