,n_fold,n_epoch,acc,tpr,tnr,loss,train,valid
0,1,1,59.90720747806598,65.27541737478757,59.057162305488276,1.153631567955017,1,0
1,1,1,56.94863204913456,71.94672131147541,54.5830639948287,-1.0,0,1
2,1,2,63.33123787137508,75.47235829251224,61.4087160247582,1.1801469326019287,1,0
3,1,2,58.31658291457286,70.51229508196721,56.39301874595992,-1.0,0,1
4,1,3,65.69409899691148,79.02129361191642,63.58376470215764,1.6151212453842163,1,0
5,1,3,59.751535455053045,69.05737704918033,58.28377504848093,-1.0,0,1
6,1,4,68.39382840899773,81.14565630310906,66.37460227002897,1.3300058841705322,1,0
7,1,4,57.10217755443886,71.76229508196721,54.78991596638655,-1.0,0,1
8,1,5,71.03752699046109,83.02509247225832,69.1393202577132,1.0605456829071045,1,0
9,1,5,63.80792853154662,62.049180327868854,64.08532643826761,-1.0,0,1
10,1,6,73.99349495722524,84.64960511846446,72.30612147979295,0.7411916851997375,1,0
11,1,6,64.46398659966499,61.98770491803279,64.85455720749839,-1.0,0,1
12,1,7,76.21149588651707,86.33409977006897,74.60860204840829,0.8564786314964294,1,0
13,1,7,68.04578447794528,53.627049180327866,70.31997414350356,-1.0,0,1
14,1,8,78.32631809112526,87.42377286813957,76.88575453926643,0.8802574872970581,1,0
15,1,8,67.0965940815187,53.68852459016394,69.21137685843568,-1.0,0,1
16,1,9,80.08582283324678,88.42347295811257,78.76557281030853,1.2026194334030151,1,0
17,1,9,65.30150753768844,57.88934426229508,66.47058823529412,-1.0,0,1
18,1,10,81.74283215349715,89.32820153953814,80.54170426303209,0.8507120013237,1,0
19,1,10,63.512004466778336,59.09836065573771,64.2081447963801,-1.0,0,1
20,1,11,82.97619373001339,90.12296311106668,81.84451726266799,1.1005038022994995,1,0
21,1,11,61.69737576772753,64.87704918032787,61.195862960568846,-1.0,0,1
22,1,12,84.24303714434089,91.00269919024292,83.1726583400611,0.5153051018714905,1,0
23,1,12,67.6214405360134,54.795081967213115,69.64447317388493,-1.0,0,1
24,1,13,85.19692787055511,91.38758372488253,84.21665004511564,0.4682658910751343,1,0
25,1,13,70.24567280848687,48.545081967213115,73.66839043309632,-1.0,0,1
26,1,14,86.2587804411403,91.85244426671998,85.37303509521774,0.6468974947929382,1,0
27,1,14,68.47292015633724,50.98360655737705,71.23141564318036,-1.0,0,1
28,1,15,86.90245169049116,92.27231830450864,86.05214418008264,0.8250346183776855,1,0
29,1,15,67.13009491903965,53.89344262295082,69.21784098254686,-1.0,0,1
30,1,16,87.73061469921011,92.88213535939218,86.91488182868721,0.45043495297431946,1,0
31,1,16,69.27414852037968,50.49180327868852,72.2365869424693,-1.0,0,1
32,1,17,88.05381692951048,92.91712486254124,87.28372196102642,0.8948063850402832,1,0
33,1,17,70.65047459519822,46.22950819672131,74.50226244343891,-1.0,0,1
34,1,18,88.80340011479487,93.4669599120264,88.06493485935002,0.3061433434486389,1,0
35,1,18,72.68844221105527,40.32786885245902,77.79250161603103,-1.0,0,1
36,1,19,89.7121928553858,94.04678596421074,89.02581880926374,0.3116982579231262,1,0
37,1,19,67.98715801228364,51.372950819672134,70.6076276664512,-1.0,0,1
38,1,20,89.68964386257414,93.97680695791263,89.01078026309541,0.3234829902648926,1,0
39,1,20,73.0178671133445,41.53688524590164,77.98319327731092,-1.0,0,1
40,1,21,90.18640500724301,94.17674697590722,89.55454243244527,0.5932056903839111,1,0
41,1,21,70.40201005025126,47.11065573770492,74.07563025210084,-1.0,0,1
42,1,22,90.47134228004482,94.21173647905628,89.87905842870937,0.48327213525772095,1,0
43,1,22,70.90452261306532,45.86065573770492,74.85455720749839,-1.0,0,1
44,1,23,90.76994560909613,94.35169449165251,90.20278292254358,0.3141297399997711,1,0
45,1,23,71.56895589056393,44.30327868852459,75.8694246929541,-1.0,0,1
46,1,24,91.12936288845765,94.63161051684494,90.57478906460243,0.7217939496040344,1,0
47,1,24,72.77777777777777,40.59426229508197,77.85391079508726,-1.0,0,1
48,1,25,91.37945171782327,94.74657602719184,90.8462743980624,0.42326828837394714,1,0
49,1,25,72.74427694025684,43.278688524590166,77.39172592113769,-1.0,0,1
50,1,26,91.6746385328122,94.87153853843847,91.16841588703677,0.2805194556713104,1,0
51,1,26,72.2640982691234,41.31147540983606,77.14608920491274,-1.0,0,1
52,1,27,91.93497690436494,95.16645006498051,91.42327966946858,0.34804677963256836,1,0
53,1,27,72.13288665549972,40.38934426229508,77.13962508080155,-1.0,0,1
54,1,28,91.99169103780031,95.02649205238428,91.51113643918887,0.3996686041355133,1,0
55,1,28,70.4745951982133,46.0655737704918,74.32449903038139,-1.0,0,1
56,1,29,92.24587968404077,95.19144256722983,91.77945576292919,0.4930538833141327,1,0
57,1,29,75.0893355667225,34.56967213114754,81.4802844214609,-1.0,0,1
58,1,30,92.4105556618471,95.33639908027591,91.94725427807063,0.7562596201896667,1,0
59,1,30,73.13512004466779,40.204918032786885,78.3290239172592,-1.0,0,1
60,1,31,92.66747751933747,95.40637808657402,92.23377815769895,0.39926305413246155,1,0
61,1,31,73.30541596873255,39.18032786885246,78.68778280542986,-1.0,0,1
62,1,32,93.00912892557466,95.67129861041687,92.58757974386981,0.6433766484260559,1,0
63,1,32,70.4857621440536,45.635245901639344,74.40530058177117,-1.0,0,1
64,1,33,93.06652636182251,95.72128361491552,92.64615092368334,0.6164195537567139,1,0
65,1,33,73.35566722501396,40.40983606557377,78.55203619909503,-1.0,0,1
66,1,34,93.12665700932025,95.65630310906728,92.72609266910449,0.2353305071592331,1,0
67,1,34,73.1965382467895,38.81147540983606,78.61990950226244,-1.0,0,1
68,1,35,93.37742914149834,96.04118764370689,92.9556283737791,0.5019804239273071,1,0
69,1,35,71.7643774427694,43.91393442622951,76.15707821590175,-1.0,0,1
70,1,36,93.46762511274497,95.7962611216635,93.09889031359326,0.2569681406021118,1,0
71,1,36,72.66052484645449,41.02459016393443,77.65029088558501,-1.0,0,1
72,1,37,93.600185858365,95.8812356293112,93.23898624368776,0.4625403881072998,1,0
73,1,37,72.22780569514238,42.60245901639344,76.90045248868778,-1.0,0,1
74,1,38,93.6958482521114,95.97120863740878,93.3355495401371,0.4962981045246124,1,0
75,1,38,72.42322724734785,40.16393442622951,77.51131221719457,-1.0,0,1
76,1,39,93.94320387022712,96.09117264820554,93.6030773614475,0.26417770981788635,1,0
77,1,39,74.35510887772195,36.10655737704918,80.38784744667097,-1.0,0,1
78,1,40,94.03818296116107,96.15115465360392,93.70359817004638,0.2791275978088379,1,0
79,1,40,73.10161920714684,38.872950819672134,78.50032320620556,-1.0,0,1
80,1,41,94.23292426271627,96.32110366889933,93.9022652799544,0.2617381513118744,1,0
81,1,41,71.1390284757119,45.368852459016395,75.20361990950227,-1.0,0,1
82,1,42,94.25547325552792,96.25612316305109,93.93867439173039,0.2103780061006546,1,0
83,1,42,73.35566722501396,37.58196721311475,78.99806076276664,-1.0,0,1
84,1,43,94.37505124771094,96.23612916125163,94.08035332668472,0.57499098777771,1,0
85,1,43,73.38358458961474,37.21311475409836,79.0885585003232,-1.0,0,1
86,1,44,94.41536611364693,96.32110366889933,94.11359642874103,0.2269667387008667,1,0
87,1,44,73.1462869905081,38.217213114754095,78.65546218487395,-1.0,0,1
88,1,45,94.6107907180146,96.68099570128962,94.2829779487423,0.22621004283428192,1,0
89,1,45,73.95868230039085,36.27049180327869,79.90303813833225,-1.0,0,1
90,1,46,94.54792685926695,96.33110066979906,94.26556489528423,0.7507020831108093,1,0
91,1,46,72.74427694025684,40.43032786885246,77.8409825468649,-1.0,0,1
92,1,47,94.61694044332687,96.42107367789663,94.33125959696696,0.472491592168808,1,0
93,1,47,71.80625348967058,42.868852459016395,76.37039431157078,-1.0,0,1
94,1,48,94.66135512613769,96.68099570128962,94.34154912855583,0.5070913434028625,1,0
95,1,48,71.76996091568955,44.07786885245902,76.13768584356819,-1.0,0,1
96,1,49,94.75496761144669,96.53104068779366,94.4737300343512,0.5228192210197449,1,0
97,1,49,73.2747068676717,37.82786885245902,78.8655462184874,-1.0,0,1
98,1,50,94.95312542706426,96.65600319904028,94.68347817827801,0.8839292526245117,1,0
99,1,50,71.83417085427136,42.33606557377049,76.48674854557207,-1.0,0,1
100,2,1,60.26759187799231,63.9765260570798,59.682953826691964,1.035599946975708,1,0
101,2,1,63.78842549858745,61.14366538694686,64.2133627686514,-1.0,0,1
102,2,2,63.77196637002534,74.17364698801224,62.13235294117647,0.9989832639694214,1,0
103,2,2,61.640233839612875,65.34653465346534,61.04473735471723,-1.0,0,1
104,2,3,66.3386082217229,78.54240858704921,64.41492726122708,0.8215247988700867,1,0
105,2,3,64.92965231741769,59.244291776116384,65.8431270696708,-1.0,0,1
106,2,4,68.46541043731261,80.7142498871445,66.53462998102466,1.2449756860733032,1,0
107,2,4,59.53679617353361,67.44796928672459,58.26569703266021,-1.0,0,1
108,2,5,71.03751613542143,82.50489040477504,69.22991777356104,0.78550124168396,1,0
109,2,5,64.91286957008195,58.799757526773085,65.89507174858775,-1.0,0,1
110,2,6,73.56932596624709,83.93940913878718,71.93469323213156,0.9745280742645264,1,0
111,2,6,61.396884003244665,65.52838957365124,60.733069281215506,-1.0,0,1
112,2,7,75.85662867016808,85.26859607764457,74.37302340290955,0.7921281456947327,1,0
113,2,7,64.1576459399737,57.34491816528592,65.25225634699045,-1.0,0,1
114,2,8,77.69521298756293,86.5375934192707,76.30139152435167,0.77800053358078,1,0
115,2,8,64.5632290005874,60.51727621741766,65.21329783780274,-1.0,0,1
116,2,9,79.63214654036075,87.89185935697446,78.33017077798861,0.7603789567947388,1,0
117,2,9,65.1226539117787,58.799757526773085,66.13856243101097,-1.0,0,1
118,2,10,81.15860863151137,88.64422932236545,79.97865275142316,0.6783085465431213,1,0
119,2,10,68.40088389135968,51.78824004849464,71.07006038568925,-1.0,0,1
120,2,11,82.71990274353388,89.70757887345137,81.61843769765972,0.5915827751159668,1,0
121,2,11,67.57852927190848,52.73792685390988,69.96298941627167,-1.0,0,1
122,2,12,83.86116366268944,90.36966444299543,82.83523086654016,0.6435391306877136,1,0
123,2,12,70.05678162848592,48.07031723580521,73.58937731316148,-1.0,0,1
124,2,13,84.8391921703081,90.88629181923058,83.8859898798229,0.4499155879020691,1,0
125,2,13,69.66238706609606,47.38330975954738,73.24199727290436,-1.0,0,1
126,2,14,85.79399933067882,91.72894618046847,84.85847564832385,0.4524593651294708,1,0
127,2,14,72.21616178568432,42.91776116387149,76.92357639114343,-1.0,0,1
128,2,15,86.50429936414487,92.0048151677785,85.63725490196079,0.46239012479782104,1,0
129,2,15,70.58264104500573,47.74701959991918,74.25167196935264,-1.0,0,1
